	origin_source_name	origin_entity_id	tamr_id	API_NUMBER	COUNTY	LATITUDE_UNIFIED	LONGITUDE_UNIFIED	LATITUDE_SURFACE	LATITUDE_BOTTOM	LONGITUDE_BOTTOM	LONGITUDE_SURFACE	OPERATOR_ID	OPERATOR_NAME	SPUD_DATE	WELL_NAME	WELL_NUMBER	WELL_STATUS	FIELD_NAME	FIELD_ID	LEASE_NAME	NAMES_UNIFIED	WELL_NAME_UNIFIED	SPUD_DATE_tamr	API_NUMBER_strip	Geofeature
943	W	3	7	'35063244010000		34.955435000000001	-96.445633000000001					22263	CRISWELL ENERGY LLC	2012-11-08	DOWNEY	'1	PA				DOWNEY	DOWNEY '1	2012-11-08	'3506324401	{'point': [-96.445633, 34.955435], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
784	p	8	7		SHACKELFORD	32.840513699999995	-99.3735521	32.840513699999995	32.840513699999995	-99.3735521	-99.3735521	429435				13	D			NAIL 12E	NAIL 12E	NAIL 12E 13			{'point': [-99.3735521, 32.840513699999995], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
778	p	7	7		ECTOR	31.990926399999996	-102.6630435	31.990926399999996	31.990926399999996	-102.6630435	-102.6630435	463316				140				GOLDSMITH-LANDRETH/SAN ANDRES/UT	GOLDSMITH-LANDRETH/SAN ANDRES/UT	GOLDSMITH-LANDRETH/SAN ANDRES/UT 140			{'point': [-102.6630435, 31.990926399999996], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1178	W	1	7	'35043234980000		36.114675925999997	-99.063460890000002					23467	TAPSTONE ENERGY LLC	2017-03-04	ELAINE 13/12-19-18 (ELAINE 1213-19-18)	'1H	AC				ELAINE 13/12-19-18 (ELAINE 1213-19-18)	ELAINE 13/12-19-18 (ELAINE 1213-19-18) '1H	2017-03-04	'3504323498	{'point': [-99.06346089, 36.114675926], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
695	W	5	7	'35121245700000		35.056710000000002	-95.649289999999993					23638	VANGUARD OPERATING LLC	2011-05-14	ALLIANCE	'30-2H	AC				ALLIANCE	ALLIANCE '30-2H	2011-05-14	'351212457	{'point': [-95.64929, 35.05671], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1451	p	3	7		HOWARD	32.48302460000001	-101.40789759999998	32.48302460000001	32.512526300000005	-101.4158287	-101.40789759999998	788997				4524LS				SUNDOWN	SUNDOWN	SUNDOWN 4524LS			{'point': [-101.40789759999998, 32.48302460000001], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
682	p	7	7		STARR	26.427342600000003	-98.51858440000001	26.427342600000003	26.427342600000003	-98.51858440000001	-98.51858440000001	243208		2007-11-13T00:00:00		53	W			BLOOMBERG, SAMUEL D.	BLOOMBERG, SAMUEL D.	BLOOMBERG, SAMUEL D. 53	2007-11-13		{'point': [-98.51858440000001, 26.427342600000003], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
592	p	1	7		ECTOR	31.9220695	-102.7419722	31.9220695	31.9220695	-102.7419722	-102.7419722	20572		1997-07-05T00:00:00		829	W			TXL NORTH UNIT	TXL NORTH UNIT	TXL NORTH UNIT 829	1997-07-05		{'point': [-102.7419722, 31.9220695], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
792	W	5	7	'35129236040000		35.696739999999998	-99.98039					19848	ENERVEST OPERATING LLC	2012-01-19	BLM SLEEPING WOMAN	'1H-8	AC				BLM SLEEPING WOMAN	BLM SLEEPING WOMAN '1H-8	2012-01-19	'3512923604	{'point': [-99.98039, 35.69674], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
471	W	2	7	'35049249360000		34.801690000000001	-97.495369999999994					21672	CHARTER OAK PRODUCTION CO LLC	2013-03-13	BOOMER	'1-22	AC				BOOMER	BOOMER '1-22	2013-03-13	'3504924936	{'point': [-97.49537, 34.80169], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
502	W	6	7	'35011236700000		35.754899999999999	-98.289199999999994					20751	DEVON ENERGY PRODUCTION CO LP	2017-03-14	FLEENOR 9_4-15N-10W	'1HX	AC				FLEENOR 9_4-15N-10W	FLEENOR 9_4-15N-10W '1HX	2017-03-14	'350112367	{'point': [-98.2892, 35.7549], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
